,Name,Campaign Twitter,Personal Twitter,Official Twitter
361,Daniel McKee,https://www.twitter.com/DanMcKeeRI,NaN,NaN
362,Luis Daniel Muñoz,https://www.twitter.com/LuisDanielMun0z,NaN,NaN
363,Ashley Kalus,https://www.twitter.com/AshleyKalus,NaN,NaN
364,Jonathan Riccitelli,NaN,NaN,NaN
365,Zachary Baker Hurwitz,https://www.twitter.com/zach4gov,NaN,NaN
366,Paul Rianna Jr.,https://www.twitter.com/PaulRiannaJr,NaN,NaN
367,Elijah Gizzarelli,https://www.twitter.com/ElijahJon,NaN,NaN
368,Carlton Boyd,NaN,NaN,NaN
369,Joe Cunningham,https://www.twitter.com/JoeCunninghamSC,NaN,NaN
370,Mia McLeod,https://www.twitter.com/MiaforSC,NaN,NaN
371,Calvin McMillan,NaN,NaN,NaN
372,William Williams,https://www.twitter.com/WilliamHCowboy2,NaN,NaN
373,Henry McMaster,NaN,NaN,NaN
374,Harrison Musselwhite,https://www.twitter.com/VoteTruckerBob,https://www.twitter.com/truckerbob3,NaN
375,Jokie Beckett Jr.,NaN,NaN,NaN
376,Michael Copland,NaN,NaN,https://www.twitter.com/PaAttorneyGen
377,Morgan Bruce Reeves,https://www.twitter.com/Reeves4SC,NaN,NaN
378,Gary Votour,https://www.twitter.com/Gary4GovSC,NaN,NaN
379,Jamie Smith,NaN,NaN,NaN
380,Steven Haugaard,NaN,NaN,NaN
381,Kristi L. Noem,https://www.twitter.com/KristiNoem,NaN,NaN
382,Tracey Quint,NaN,NaN,NaN
383,Carnita Atwater,NaN,NaN,https://www.twitter.com/SenMastriano
384,Jason Martin,https://www.twitter.com/jasonbmartin,NaN,NaN
385,JB Smiley Jr.,https://www.twitter.com/jbsmileyjr,NaN,NaN
386,Bill Lee,https://www.twitter.com/BillLeeTN,NaN,NaN
387,Constance Every,https://www.twitter.com/TN4EVERY1,NaN,NaN
388,John Gentry,NaN,NaN,NaN
389,Basil Marceaux,NaN,NaN,NaN
390,Charles Morgan,NaN,https://www.twitter.com/CharlesVanMorg2,NaN
391,Alfred O'Neil,NaN,NaN,NaN
392,Deborah Rouse,NaN,NaN,NaN
393,Michael Scantland,NaN,NaN,https://www.twitter.com/RISecState
394,Rick Tyler,NaN,NaN,NaN
395,Inocencio Barrientez,NaN,NaN,https://www.twitter.com/GovDanMcKee
